Адміністрація:ДИРЕКЦИЯ
Відділ контролю:ДР
Департамент безпеки:ДБ
Департамент інформаційних технологій:ДИТ
Департамент логістики:КС
Департамент маркетингу:КС
Департамент розвитку:ОС
Департамент стратегічного менеджменту:ОС
Департамент трансформаційного цифрового офісу:ДИТ
Департамент управління персоналом:ДУП
Департамент фреш:КС
Київський філіал:КС
Комерційний департамент:КС
Операційна діяльність:ОС
Операційний департамент:ОС
Управління проектами:ОС
Фінансовий департамент:ФД
Центр обробки даних та аналітики:ДИТ
Юридичний департамент:ОС
